question_id,format,question,gold_letter,gold_text,model_raw,model_letter,model_text,correct
1,TF,If the discovery of human mitochondrial Eve had never occurred; later discoveries about global population divergence would have lacked a unified genetic starting point.,a,True,True,a,True,1
2,MCQ,If the discovery of the Indo-European language family had not occurred; which later discovery would have lacked crucial linguistic evidence?,a,The discovery of prehistoric migration routes into Europe and South Asia,A,a,The discovery of prehistoric migration routes into Europe and South Asia,1
3,TF,If the discovery that Neanderthals interbred with modern humans had not occurred; explanations for certain immune gene patterns would remain incomplete.,a,True,True,a,True,1
4,MCQ,Which later discovery would be harder to explain if ancient Denisovan DNA had never been discovered?,a,The unique genetic adaptations to high altitude in Tibetan populations,A,a,The unique genetic adaptations to high altitude in Tibetan populations,1
5,TF,If the discovery of continental outlines matching across oceans had never occurred; evidence for early supercontinents would remain speculative.,a,True,True,a,True,1
6,MCQ,If the discovery of the African Rift Valley fossils had not occurred; which later discovery about human evolution would face major setbacks?,a,The discovery of the timeline for bipedal evolution,A,a,The discovery of the timeline for bipedal evolution,1
7,TF,If the discovery of ancient Sumerian writing tablets had never occurred; historians would lack direct evidence for urban economic systems in early civilizations.,a,True,True,a,True,1
8,MCQ,If the discovery of the Rosetta Stone had never occurred; which other major historical discovery would have been blocked?,a,The deciphering of Egyptian hieroglyphs,A,a,The deciphering of Egyptian hieroglyphs,1
9,TF,If the discovery of the Bering land bridge migration evidence had not occurred; models of early American population routes would lack coherence.,a,True,True,a,True,1
10,MCQ,If the discovery of Clovis archaeological sites had not occurred; which later discovery about ancient American cultures would lack context?,a,The discovery of pre-Clovis coastal migration evidence,A,a,The discovery of pre-Clovis coastal migration evidence,1
11,TF,If the discovery of the greenhouse effect by Fourier had never happened; later climate change discoveries would lack a fundamental mechanism for heat trapping.,a,True,False,b,False,0
12,MCQ,If the discovery of the ozone hole had not occurred; what later discovery would lack environmental urgency?,a,The discovery of harmful UV-induced DNA mutations in ecosystems,A,a,The discovery of harmful UV-induced DNA mutations in ecosystems,1
13,TF,If the discovery of general relativity had not occurred; the later discovery of gravitational lensing would be mathematically unsupported.,a,True,True,a,True,1
14,MCQ,If the discovery of cosmic expansion had not been made; which later discovery would struggle for validation?,a,The discovery of dark energy acceleration,A,a,The discovery of dark energy acceleration,1
15,TF,If the discovery of classical conditioning by Pavlov had never occurred; many discoveries in behavioral psychology would lack foundational experimental structure.,a,True,True,a,True,1
16,MCQ,If the discovery of cognitive biases by Tversky and Kahneman had not occurred; which later discovery would be weakened?,a,The discovery of behavioral economics deviations from rational choice theory,A,a,The discovery of behavioral economics deviations from rational choice theory,1
17,TF,If the discovery of microplastics in oceans had never emerged; ecological studies on marine food webs would lack crucial contamination evidence.,a,True,True,a,True,1
18,MCQ,If the discovery of deep-sea hydrothermal vents had not occurred; which later discovery about life’s origins would be ungrounded?,a,The discovery of chemosynthetic ecosystems,A,a,The discovery of chemosynthetic ecosystems,1
