question_id,format,question,gold_letter,gold_text,model_raw,model_letter,model_text,correct
1,TF,If the steam engine; historically developed in Britain; had instead first been invented in Qing China; industrialization in East Asia would likely have started earlier than in Europe.,a,True,False,b,False,0
2,MCQ,If the printing press; first used widely in German cities; had instead been invented in Italy; which is the most likely outcome?,a,Renaissance ideas in Italy would spread even faster through printed books,A,a,Renaissance ideas in Italy would spread even faster through printed books,1
3,TF,If gunpowder; first formulated in China; had instead been discovered in medieval France; European armies would likely have adopted firearms earlier than they did historically.,a,True,True,a,True,1
4,MCQ,If the compass; developed in China; had instead first appeared in Portugal; which is the most likely effect on history?,a,Portuguese explorers would push into the Atlantic and around Africa even sooner,A,a,Portuguese explorers would push into the Atlantic and around Africa even sooner,1
5,TF,If paper; first invented in China; had instead been invented in the Roman Empire; written administration across Europe and North Africa would likely have expanded earlier.,a,True,True,a,True,1
6,MCQ,If the concept of zero; formalized in India; had instead first been developed in ancient Greece; which outcome is most likely?,a,European mathematics would gain powerful tools earlier,A,a,European mathematics would gain powerful tools earlier,1
7,TF,If algebra; developed in the Islamic world; had instead first been created in England; European universities would still eventually spread the methods across the continent.,a,True,True,a,True,1
8,MCQ,If algebraic methods had first been formalized in Baghdad rather than spreading from Greek sources; which is the most likely historical effect?,a,The Abbasid Caliphate would become an even stronger center of scientific learning,A,a,The Abbasid Caliphate would become an even stronger center of scientific learning,1
9,TF,If movable-type printing; refined by Gutenberg in Germany; had instead been invented in Korea and then spread to Europe later; the timing of European religious debates might still have been influenced by printed texts.,a,True,True,a,True,1
10,MCQ,If movable metal type had first been adopted in Korea and then copied in Europe much later; which is most likely?,a,East Asian states would gain an earlier advantage in mass printing and literacy,A,a,East Asian states would gain an earlier advantage in mass printing and literacy,1
11,TF,If the telegraph; developed in Britain and the United States; had instead first been invented in India; long-distance communication across the British Empire in Asia would likely have accelerated earlier.,a,True,True,a,True,1
12,MCQ,If the first practical telephone had been invented in the Austro-Hungarian Empire instead of the United States; which is the most plausible effect?,a,Central and Eastern Europe would become early hubs of telephone infrastructure,A,a,Central and Eastern Europe would become early hubs of telephone infrastructure,1
13,TF,If the airplane; first flown in the United States; had instead been invented in Germany before 1900; European militaries would likely have adopted aircraft even earlier for reconnaissance and war.,a,True,True,a,True,1
14,MCQ,If the first successful powered flight had taken place in Brazil instead of the United States; which is the most likely consequence?,a,Brazil would gain early prestige and influence over the emerging aviation industry,A,a,Brazil would gain early prestige and influence over the emerging aviation industry,1
15,TF,If the internal combustion engine; largely perfected in Germany; had instead been invented in Japan during the Meiji period; Japanese industry would likely have modernized its transport sector even faster.,a,True,True,a,True,1
16,MCQ,If the first mass-produced automobile had appeared in Italy instead of the United States; which is the most likely effect?,a,European road networks might have been expanded and paved earlier,A,a,European road networks might have been expanded and paved earlier,1
17,TF,If silk production; historically centered in China; had instead first developed in ancient Greece; Mediterranean traders would likely have controlled early silk commerce.,a,True,True,a,True,1
18,MCQ,If porcelain; perfected in China; had instead been discovered in Persia; which is the most likely outcome?,a,Persian workshops would become famous for high-value ceramics traded across Eurasia,A,a,Persian workshops would become famous for high-value ceramics traded across Eurasia,1
19,TF,If advanced glassmaking; which flourished around the eastern Mediterranean; had instead begun in Mesoamerica; American civilizations might have used glass widely before European contact.,a,True,True,a,True,1
20,MCQ,If an early form of clear glass had been invented by the Maya; which is the most plausible historical effect?,a,Archaeologists today would find more glass artifacts in ancient Central American sites,A,a,Archaeologists today would find more glass artifacts in ancient Central American sites,1
21,TF,If the mechanical clock; refined in medieval Europe; had instead been invented in the Islamic world; standardized public timekeeping might have appeared earlier in Middle Eastern cities.,a,True,True,a,True,1
22,MCQ,If accurate pendulum clocks had first been invented in the Netherlands rather than elsewhere in Europe; which is the most likely effect?,a,Dutch cities and ships would benefit from more precise timekeeping for trade and navigation,A,a,Dutch cities and ships would benefit from more precise timekeeping for trade and navigation,1
23,TF,If early seismographs; historically invented in China; had instead been created in Greece; Mediterranean societies would likely have kept better records of earthquakes in the region.,a,True,True,a,True,1
24,MCQ,If systematic earthquake-recording instruments had first been installed in Japan in antiquity; which is the most plausible effect?,a,Japan would have unusually long and detailed seismic records compared to other regions,A,a,Japan would have unusually long and detailed seismic records compared to other regions,1
25,TF,If the first microscopes; developed in the Netherlands; had instead been invented in Spain; early biological discoveries in Europe would still likely spread through shared scientific networks.,a,True,True,a,True,1
26,MCQ,If telescopes had first been built in England instead of Italy and the Netherlands; which is the most likely outcome?,a,English astronomers would make key observations of the planets slightly earlier,A,a,English astronomers would make key observations of the planets slightly earlier,1
27,TF,If the idea of vaccination; demonstrated by Edward Jenner in England; had instead been first formalized in the Ottoman Empire; the technique might still have spread into Europe through diplomatic and medical contacts.,a,True,True,a,True,1
28,MCQ,If an early vaccination campaign had been organized in the Ottoman capital of Istanbul; which is the most plausible effect?,a,Populations in parts of the Middle East and Balkans would see earlier protection from smallpox,A,a,Populations in parts of the Middle East and Balkans would see earlier protection from smallpox,1
29,TF,If antiseptic surgery; pioneered in Britain; had instead been first adopted in Japan; hospitals in East Asia might have reduced infection rates earlier than many European hospitals.,a,True,True,a,True,1
30,MCQ,If anesthesia had been developed in Persia rather than in the United States and Britain; which is the most likely consequence?,a,Surgical procedures in parts of the Middle East would become less painful and more complex earlier,A,a,Surgical procedures in parts of the Middle East would become less painful and more complex earlier,1
31,TF,If antibiotics like penicillin; discovered in the United Kingdom; had instead first been discovered in Egypt; medical research centers in North Africa might have gained earlier global recognition.,a,True,True,a,True,1
32,MCQ,If antibiotic drugs had first been discovered and mass-produced in South Africa; which outcome is most plausible?,a,South African laboratories and pharmaceutical companies would become central in early antibiotic development,A,a,South African laboratories and pharmaceutical companies would become central in early antibiotic development,1
33,TF,If the first programmable computer; built in Germany and Britain; had instead been invented in Sweden; Northern Europe might still have become a major center for early computing research.,a,True,False,b,False,0
34,MCQ,If early electronic computers had been invented in India instead of the United States and Europe; which is the most likely effect?,a,Indian universities and labs would become early hubs of computer science,A,a,Indian universities and labs would become early hubs of computer science,1
35,TF,If transistors; invented in the United States; had instead first been built in Japan; Japanese electronics companies would likely have gained an even stronger head start in consumer electronics.,a,True,True,a,True,1
36,MCQ,If integrated circuits had first been mass-produced in South Korea instead of the United States; which is the most plausible effect?,a,South Korea would become an even earlier leader in semiconductor manufacturing,A,a,South Korea would become an even earlier leader in semiconductor manufacturing,1
37,TF,If the Internet; largely developed in the United States; had instead first emerged from research networks in Switzerland; it would still likely have spread globally through scientific collaboration.,a,True,True,a,True,1
38,MCQ,If early packet-switched networks had been invented and tested in Israel rather than in the United States; which is the most likely outcome?,a,Israel would become an early hub for networking and cybersecurity research,A,a,Israel would become an early hub for networking and cybersecurity research,1
