question_id,format,question,gold_letter,gold_text,model_raw,model_letter,model_text,correct
1,TF,The Trần Dynasty Defeats Mongol Invasions occurred before the Discovery of Diamonds.,a,True,False,b,False,0
2,TF,The Reserve Bank of India (RBI) occurred before the 1953 Iranian Coup d'état.,a,True,True,a,True,1
3,TF,The Kronstadt Rebellion occurred before the Oka Crisis.,a,True,True,a,True,1
4,TF,The First Saudi State Established occurred before the Independence from France.,a,True,True,a,True,1
5,TF,The Singapore Joins the United Nations occurred before the Independence from France.,b,False,False,b,False,1
6,TF,The Economic Development occurred before the Independence from France.,b,False,False,b,False,1
7,TF,The Income Doubling Plan Announced occurred before the Scottish Devolution Referendum.,a,True,True,a,True,1
8,TF,The Establishment of the Central Bank of Sri Lanka occurred before the Women's Suffrage (19th Amendment).,b,False,False,b,False,1
9,TF,The Land Reform Law Enacted occurred before the First Mars Helicopter Flight.,a,True,True,a,True,1
10,TF,The Establishment of Joseon Dynasty occurred before the Signing of the Treaty of Utrecht.,a,True,True,a,True,1
11,TF,The Assassination of Empress Myeongseong occurred before the Spanish Transition to Democracy.,a,True,True,a,True,1
12,TF,The Port Arthur Massacre occurred before the Establishment of the Fifth Republic.,b,False,False,b,False,1
13,TF,The Partition of India occurred before the Alash Autonomy Declaration.,b,False,False,b,False,1
14,TF,The First Executive President Elected occurred before the Stock Market Crash of 1929.,b,False,True,a,True,0
15,TF,The Pulwama Terrorist Attack occurred before the Federated Malay States Formed.,b,False,False,b,False,1
16,TF,The Division of Korea occurred before the Exhumation of Francisco Franco.,a,True,True,a,True,1
17,TF,The Mongol Invasions of Japan occurred before the Industrial Revolution Begins.,a,True,True,a,True,1
18,TF,The Battle of Điện Biên Phủ occurred before the Black Death in Norway.,b,False,False,b,False,1
19,TF,The Beslan School Siege occurred before the Official Languages Act.,b,False,False,b,False,1
20,TF,The Financial Crisis in Russia occurred before the Discovery of Insulin.,b,False,False,b,False,1
21,TF,The Introduction of Goods and Services Tax (GST) occurred before the Signing of the Treaty of Rome.,b,False,False,b,False,1
22,TF,The New Zealand Bill of Rights Act occurred before the Discovery of the Americas.,b,False,False,b,False,1
23,TF,The Establishment of the People's Republic of China occurred before the Prohibition Era Begins.,b,False,False,b,False,1
24,TF,The Armistice Agreement occurred before the 2010 FIFA World Cup Victory.,a,True,True,a,True,1
25,TF,The Sook Ching Massacre occurred before the Independence from Britain.,a,True,True,a,True,1
26,TF,The Arrival of the First Fleet occurred before the Discovery of Penicillin.,a,True,True,a,True,1
27,TF,The China Hosts the Olympic Games occurred before the Assassination of President John F. Kennedy.,b,False,False,b,False,1
28,TF,The Creation of Pakistan occurred before the Independence from the Soviet Union.,a,True,True,a,True,1
29,TF,The Gwangju Uprising occurred before the Gorm the Old Reign.,b,False,False,b,False,1
30,TF,The 2011 Christchurch Earthquake occurred before the War of Spanish Succession.,b,False,False,b,False,1
31,TF,The Construction of Auckland Harbour Bridge occurred before the Berlusconi Elected Prime Minister.,a,True,True,a,True,1
32,TF,The Maria Hertogh Riots occurred before the Independence from Portugal.,a,True,True,a,True,1
33,TF,The Repeal of Carbon Tax occurred before the France Bans Smoking in Public Places.,b,False,False,b,False,1
34,TF,The Bengal Famine of 1943 occurred before the Accession to the Soviet Union.,b,False,False,b,False,1
35,TF,The 1987 New Zealand Constitution Act occurred before the Entry into the European Union.,b,False,True,a,True,0
36,TF,The Kyoto Protocol on Climate Change occurred before the Creation of the Commonwealth of Nations.,b,False,False,b,False,1
37,TF,The Founding of Saudi Aramco occurred before the Sharpeville Massacre.,a,True,True,a,True,1
38,TF,The Purna Swaraj Declaration occurred before the Japanese Occupation.,a,True,True,a,True,1
39,TF,The Panama Papers Case & Disqualification of PM Nawaz Sharif occurred before the New Economic Policy Introduced.,b,False,False,b,False,1
40,TF,The Women's Suffrage Achieved occurred before the Fall of Constantinople.,b,False,False,b,False,1
41,TF,The G20 Summit Hosted in Riyadh occurred before the Abolition of Slavery.,b,False,False,b,False,1
42,TF,The 2019 Easter Bombings occurred before the Civil Rights Act of 1964.,b,False,False,b,False,1
43,TF,The Citizenship Amendment Act (CAA) Implementation occurred before the Establishment of Monarchy.,b,False,False,b,False,1
44,TF,The Pakistan Joins the United Nations occurred before the Death of Islam Karimov.,a,True,True,a,True,1
45,TF,The HEC Digital Library Initiative occurred before the Pakistan International Airlines Flight 268.,b,False,False,b,False,1
46,TF,The Nirbhaya Case occurred before the Sultanate Becomes a British Protectorate.,b,False,False,b,False,1
47,TF,The Onin War occurred before the Battle of Trafalgar.,a,True,True,a,True,1
48,TF,The End of the Civil War occurred before the Nedelin Catastrophe.,b,False,True,a,True,0
49,TF,The March 1st Movement occurred before the Financial Crisis Impact.,a,True,True,a,True,1
50,TF,The The Gabo Reform occurred before the Francoist Spain.,a,True,True,a,True,1
51,TF,The Indus Water Treaty occurred before the 1MDB Scandal.,a,True,True,a,True,1
52,TF,The Malala Yousafzai's Nobel Peace Prize occurred before the Presidential Election Victory of Ibrahim Solih.,a,True,True,a,True,1
53,TF,The ANZAC troops land at Gallipoli occurred before the First English Parliament.,b,False,False,b,False,1
54,TF,The Establishment of the Colony of Van Diemen's Land occurred before the British Exit from the European Exchange Rate Mechanism.,a,True,True,a,True,1
55,TF,The ANZUS Treaty Suspension occurred before the L'Aquila Earthquake.,a,True,True,a,True,1
56,TF,The Compulsory Military Training Introduced occurred before the Mani Pulite (Clean Hands) Investigation Begins.,a,True,True,a,True,1
57,TF,The Perestroika and Glasnost Reforms occurred before the Halifax Explosion.,b,False,False,b,False,1
58,TF,The Korean War Involvement occurred before the France Wins the 2018 FIFA World Cup.,a,True,True,a,True,1
59,TF,The Vietnam Hosts APEC Summit occurred before the Lapland War.,b,False,False,b,False,1
60,TF,The Battle of Panipat occurred before the Execution of Barlow and Chambers.,a,True,True,a,True,1
61,TF,The 1967 Referendum on Indigenous Australians occurred before the Execution of Louis XVI.,b,False,False,b,False,1
62,TF,The Founding of the Song Dynasty occurred before the Black Lives Matter Movement.,a,True,True,a,True,1
63,TF,The Three Kingdoms Period Begins occurred before the Transcontinental Railroad Completed.,a,True,True,a,True,1
64,TF,The Islamabad Declaration occurred before the Presidential Transition.,a,True,True,a,True,1
65,TF,The 2020 Tokyo Olympics Postponement occurred before the Battle of Waterloo.,b,False,False,b,False,1
66,TF,The Establishment of Goryeo Dynasty occurred before the The Spanish Golden Age.,a,True,True,a,True,1
67,TF,The Māori Seats Established in Parliament occurred before the Sack of Rome.,b,False,False,b,False,1
68,TF,The Waitangi Tribunal Established occurred before the Treaty of the Pyrenees.,b,False,False,b,False,1
69,TF,The Economic Reforms and Liberalization occurred before the Timurid Empire Peaks.,b,False,False,b,False,1
70,TF,The Gwadar Port Development occurred before the Philippine Airlines Flight 434.,b,False,False,b,False,1
71,TF,The Emperor Akihito's Abdication occurred before the The Glorious Revolution.,b,False,False,b,False,1
72,TF,The New Zealand's First Female Prime Minister occurred before the Fall of the Spanish Empire.,b,False,False,b,False,1
73,TF,The Establishment of Đại Việt occurred before the Founding of Oslo.,a,True,True,a,True,1
74,TF,The Myall Creek Massacre occurred before the Signing of the Treaty of Verdun.,b,False,False,b,False,1
75,TF,The Federation of Australia occurred before the Establishment of the University of Paris.,b,False,False,b,False,1
76,TF,The Japanese Invasions of Korea (Imjin War) occurred before the Peninsular War.,a,True,True,a,True,1
77,TF,The Historic Solar Alliance Initiative occurred before the Kingdom of Iraq Independence.,b,False,False,b,False,1
78,TF,The The Great Strike of 1917 occurred before the Battle of Agincourt.,b,False,False,b,False,1
79,TF,The Formation of Indian National Congress occurred before the Constitutional Revolution.,a,True,True,a,True,1
80,TF,The Cuban Missile Crisis occurred before the Charlottetown Accord Referendum.,a,True,True,a,True,1
81,TF,The Hong Kong Handover occurred before the United Nations Charter Ratification.,b,False,False,b,False,1
82,TF,The Sydney Harbour Bridge Opens occurred before the Act of Supremacy.,b,False,False,b,False,1
83,TF,The Anzac Forces Land at Gallipoli occurred before the Unification of Italy Proclaimed.,b,False,False,b,False,1
84,TF,The First Constitution of Pakistan occurred before the Introduction of Television.,a,True,True,a,True,1
85,TF,The Operation Blue Star occurred before the Forced Collectivization by Soviets.,b,False,False,b,False,1
86,TF,The New Zealand Wars occurred before the Crowning of Charlemagne.,b,False,False,b,False,1
