question_id,format,question,gold_letter,gold_text,model_raw,model_letter,model_text,correct
1,TF,Debates on remote work today mirror past discussions about labor shifts during the Industrial Revolution.,a,True,True,a,True,1
2,MCQ,Modern discussions on renewable energy reflect historical efforts in:,b,Early 20th-century conservation movements,B,b,Early 20th-century conservation movements,1
3,TF,Current debates about wealth inequality resemble struggles with labor strikes in the Industrial Revolution.,a,True,True,a,True,1
4,MCQ,Modern cybersecurity concerns are similar to historical challenges in:,b,Espionage during the Cold War,B,b,Espionage during the Cold War,1
5,TF,Urban housing debates today reflect struggles with tenement overcrowding in the 19th century.,a,True,True,a,True,1
6,MCQ,Discussions on labor rights in gig economies echo historical struggles with:,b,Industrial Revolution trade unions,B,b,Industrial Revolution trade unions,1
7,TF,Debates over climate-induced migration today mirror historical displacement caused by the Dust Bowl.,a,True,True,a,True,1
8,MCQ,Modern discussions on ethical AI resemble historical struggles with:,b,Medical experimentation laws in the 19th century,D,d,Medieval guild controls,0
9,TF,Current debates on public health policies are reminiscent of sanitation reforms during 19th-century cholera outbreaks.,a,True,True,a,True,1
10,MCQ,Modern concerns about internet neutrality reflect historical struggles over:,b,Telegraph and early telephone regulation,B,b,Telegraph and early telephone regulation,1
11,TF,Debates about access to education today echo historical struggles with public schooling reforms in the 19th century.,a,True,True,a,True,1
12,MCQ,Modern labor movements resemble historical struggles with:,b,Industrial Revolution trade unions,B,b,Industrial Revolution trade unions,1
13,TF,Current debates about digital privacy reflect early 20th-century concerns about government surveillance.,a,True,True,a,True,1
14,MCQ,Discussions on AI ethics in healthcare are reminiscent of historical struggles with:,b,19th-century medical ethics reforms,B,b,19th-century medical ethics reforms,1
15,TF,Modern food security debates mirror historical struggles with famine management in 19th-century Europe.,a,True,True,a,True,1
16,MCQ,Contemporary environmental movements echo struggles over pollution control during early industrial cities.,b,19th-century industrial pollution reforms,B,b,19th-century industrial pollution reforms,1
17,TF,Current debates on fair trade resemble historical struggles with colonial mercantilism.,a,True,True,a,True,1
18,MCQ,Modern urban planning debates reflect historical efforts in:,b,19th-century city zoning and sanitation reforms,B,b,19th-century city zoning and sanitation reforms,1
19,TF,Debates about labor protections today echo historical struggles with factory safety reforms.,a,True,True,a,True,1
20,MCQ,Modern discussions on access to clean water mirror past struggles with:,b,19th-century urban sanitation reforms,B,b,19th-century urban sanitation reforms,1
21,TF,Debates about ethical consumption today reflect historical consumer protection laws.,a,True,False,b,False,0
22,MCQ,Current concerns over AI in justice systems resemble historical struggles with:,a,19th-century judicial reforms,A,a,19th-century judicial reforms,1
23,TF,Modern urban heat challenges mirror historical struggles with industrial city pollution.,a,True,True,a,True,1
24,MCQ,Contemporary discussions on data transparency resemble historical struggles with:,a,19th-century government reporting reforms,A,a,19th-century government reporting reforms,1
25,TF,Debates on climate refugees today echo past struggles with displacement caused by natural disasters in the 19th century.,a,True,True,a,True,1
26,TF,Modern debates on digital surveillance reflect historical struggles with government monitoring during the Red Scare.,a,True,True,a,True,1
27,MCQ,Contemporary discussions on renewable energy adoption mirror historical efforts in:,b,Early 20th-century conservation movements,B,b,Early 20th-century conservation movements,1
28,TF,Modern debates about universal healthcare reflect struggles over public health reforms in the 19th century.,a,True,True,a,True,1
29,MCQ,Discussions on ethical AI in media today are similar to historical struggles with:,b,Propaganda and censorship during World Wars,B,b,Propaganda and censorship during World Wars,1
