question_id,template_type,question_format,question,gold_answer_letter,gold_answer_text,model_raw_answer,model_parsed_letter,model_parsed_text,is_correct
1,unknown,MCQ,Which societies experienced severe taxation crises leading to popular revolts over a millennium apart?,b,Egypt 2000 BCE and Japan 1600,A,a,Rome 133 BCE and France 1789,0
2,unknown,TF,Byzantine Empire in 1204 and Russia in 1917 faced leadership crises triggered by external invasions.,a,True,False,b,False,0
3,unknown,MCQ,Economic decline and corruption led to unrest in which of the following societies?,c,Ottoman Empire 1453,A,a,Ming China 1620,0
4,unknown,MCQ,Which society faced leadership debates during territorial fragmentation?,d,Spain 1930,A,a,Holy Roman Empire 1618,0
5,unknown,TF,France in 1789 and the Roman Republic in 133 BCE faced revolts fueled by economic inequality.,a,True,True,a,True,1
6,unknown,MCQ,"Which empire experienced economic crisis, peasant uprisings, and contested leadership in the 17th century?",b,Mughal Empire 1526,A,a,Ottoman Empire 1683,0
7,unknown,TF,The United States in 1933 and Weimar Germany in 1929 struggled with global economic collapse leading to instability.,a,True,True,a,True,1
8,unknown,MCQ,Which societies experienced rapid leadership transitions due to social unrest?,c,France 1870 and Russia 1204,A,a,England 1640 and Germany 1930,0
9,unknown,TF,Both the Aztec Empire and Haiti experienced internal rebellion alongside external pressures.,a,True,True,a,True,1
10,unknown,MCQ,Economic decline and unrest in which society led to the fall of its ruling dynasty?,d,England 1066,A,a,Ming China 1620,0
11,unknown,MCQ,Which society’s leadership debates were amplified by war and economic hardship?,b,Japan 1600,A,a,France 1789,0
12,unknown,TF,Ming China 1644 and Tokugawa Japan 1853 both faced social unrest due to external pressures.,a,True,True,a,True,1
13,unknown,MCQ,Which society faced peasant revolts and debates over imperial succession?,c,Aztec Empire 1500,B,b,Rome 133 BCE,0
14,unknown,TF,England in 1381 and France in 1789 experienced revolts due to taxation and inequality.,a,True,True,a,True,1
15,unknown,MCQ,Which society had leadership debates amplified by foreign invasions?,c,Mexico 1910,A,a,Byzantine Empire 1071,0
16,unknown,TF,Soviet Union in 1985 and Ming China in 1640 struggled with economic decline leading to instability.,a,True,True,a,True,1
17,unknown,MCQ,"Which societies struggled with inflation, famine, and political corruption?",d,Spain 1808 and Haiti 1791,A,a,Roman Republic 133 BCE and France 1789,0
