question_id,template_type,question_format,question,gold_answer_letter,gold_answer_text,model_raw_answer,model_parsed_letter,model_parsed_text,is_correct
1,unknown,TF,The Great Hanshin Earthquake occurred before the China Airlines Flight 611 and after the SilkAir Flight 185.,b,False,True,a,True,0
2,unknown,TF,The ANZUS Treaty Suspension occurred before the Vietnam Joins ASEAN and after the Execution of Barlow and Chambers.,a,True,True,a,True,1
3,unknown,TF,The China Hosts the Olympic Games occurred before the Grenfell Tower Fire and after the Hurricane Sandy.,b,False,True,a,True,0
4,unknown,TF,The Fall of Blaise Compaoré occurred before the Protests Against Corruption and Unemployment and after the Hurricane Sandy.,a,True,True,a,True,1
5,unknown,TF,The Independence from Britain occurred before the Emergency Declared by Indira Gandhi and after the Creation of the Canadian Flag.,b,False,True,a,True,0
6,unknown,TF,The Green Movement occurred before the Emperor Akihito's Abdication and after the Austerity Measures During Crisis.,b,False,True,a,True,0
7,unknown,TF,The Formation of Federation of Malaya occurred before the April Revolution and after the Independence from British Rule.,b,False,True,a,True,0
8,unknown,TF,The Battle of Singapore occurred before the Signing of the ANZUS Treaty and after the Internment of Japanese Canadians.,a,True,True,a,True,1
9,unknown,TF,The Finnish Civil War occurred before the Discovery of Penicillin and after the Jallianwala Bagh Massacre.,b,False,True,a,True,0
10,unknown,TF,The Saudi Recognition of Pakistan occurred before the Newfoundland Joins Canada and after the First Indochina War Begins.,a,True,False,b,False,0
11,unknown,TF,The Cable Car Disaster occurred before the Siachen Glacier Conflict and after the Idi Amin's Regime.,a,True,True,a,True,1
12,unknown,TF,The UK Hosts the G8 Summit occurred before the Cyclone Idai and after the First Democratic Elections.,b,False,True,a,True,0
13,unknown,TF,The Vietnam Joins the World Trade Organization occurred before the Panama Papers Case & Disqualification of PM Nawaz Sharif and after the Victory over Terrorism Day.,b,False,True,a,True,0
14,unknown,TF,The New Zealand's First Female Prime Minister occurred before the Sidoarjo Mud Flow and after the Barcelona Olympics.,a,True,True,a,True,1
15,unknown,TF,The Kandahar Hijacking (IC 814) occurred before the Tsunami Disaster and after the September 11 Attacks.,b,False,True,a,True,0
16,unknown,TF,The Historic US Presidential Visit to Vietnam occurred before the Presidential Transition and after the Charlottesville Rally and Violence.,b,False,False,b,False,1
17,unknown,TF,The Introduction of UPI (Unified Payment Interface) occurred before the US Withdrawal from the JCPOA and after the Imran Khan Elected as Prime Minister.,b,False,False,b,False,1
18,unknown,TF,The Khashoggi Assassination occurred before the Women Allowed to Drive and after the 18th Amendment to the Constitution.,a,True,True,a,True,1
19,unknown,TF,The THAAD Deployment Controversy occurred before the Launch of James Webb Space Telescope and after the Women's Rights March.,b,False,True,a,True,0
20,unknown,TF,The Scottish Independence Referendum occurred before the Khashoggi Assassination and after the L'Aquila Earthquake.,a,True,True,a,True,1
21,unknown,TF,The Law of Historical Memory occurred before the Catalan Independence Referendum and after the London Underground Bombings.,a,True,True,a,True,1
22,unknown,TF,The Entry into the European Union occurred before the Homosexual Law Reform Act and after the Nationalization in Pakistan.,a,True,False,b,False,0
23,unknown,TF,The Namibian Independence occurred before the Motorway Network Development and after the Pakistan International Airlines Flight 268.,b,False,True,a,True,0
24,unknown,TF,The Economic Development occurred before the Independence from Britain and after the Formation of Malaysia.,a,True,False,b,False,0
25,unknown,TF,The The Beatles' Rise to Fame occurred before the Separation and Independence and after the Baghdad Pact.,a,True,True,a,True,1
26,unknown,TF,The Battle of Singapore occurred before the Joining of Newfoundland and after the Founding of the People's Republic of China.,b,False,False,b,False,1
27,unknown,TF,The India's Demonetisation Campaign occurred before the Appointment of Abiy Ahmed and after the Fort McMurray Wildfire.,a,True,True,a,True,1
28,unknown,TF,The Creation of Pakistan occurred before the Compulsory Military Training Introduced and after the Formation of the United Malays National Organisation.,a,True,True,a,True,1
29,unknown,TF,The Battle of Singapore occurred before the Australian Citizenship Act and after the Lahore Resolution (Pakistan Resolution).,a,True,True,a,True,1
30,unknown,TF,The Moscow Conference of Foreign Ministers occurred before the Signing of the Treaty of Rome and after the Creation of the Commonwealth of Nations.,b,False,True,a,True,0
31,unknown,TF,The Formation of the Viet Minh occurred before the Baghdad Pact and after the Sook Ching Massacre.,b,False,True,a,True,0
32,unknown,TF,The Nazi Germany Invades the Soviet Union occurred before the Death of Joseph Stalin and after the Saudi Recognition of Pakistan.,b,False,True,a,True,0
33,unknown,TF,The Statute of Westminster occurred before the Lapland War and after the First Constitution of Maldives.,b,False,True,a,True,0
34,unknown,TF,The THAAD Deployment Controversy occurred before the Supreme Court Verdict on Ayodhya and after the Beslan School Siege.,a,True,True,a,True,1
35,unknown,TF,The Sidoarjo Mud Flow occurred before the Pulwama Terrorist Attack and after the Tsunami Disaster.,a,True,True,a,True,1
36,unknown,TF,The Quit India Movement occurred before the Sultanate Abolished and Restored and after the University of Malaya Formation.,b,False,False,b,False,1
37,unknown,TF,The Australia's First Female Prime Minister occurred before the Brexit Referendum and after the Second Nuclear Test.,a,True,True,a,True,1
38,unknown,TF,The Cripps Mission occurred before the Internment of Japanese Canadians and after the Siege of Leningrad.,a,True,False,b,False,0
39,unknown,TF,The Apology to the Stolen Generations occurred before the Emperor Akihito's Abdication and after the ISIS Captures Mosul.,b,False,True,a,True,0
40,unknown,TF,The 18th Amendment to the Constitution occurred before the Wenzhou Train Collision and after the Vietnam's First Communication Satellite.,a,True,True,a,True,1
41,unknown,TF,The Independence from Sudan occurred before the Pulwama Terrorist Attack and after the Women Allowed to Drive.,b,False,True,a,True,0
42,unknown,TF,The Wenzhou Train Collision occurred before the AirAsia Flight QZ8501 and after the Shanghai Cooperation Organization Establishment.,a,True,True,a,True,1
43,unknown,TF,The London Underground Bombings occurred before the Theresa May becomes Prime Minister and after the Boko Haram Insurgency Intensifies.,b,False,True,a,True,0
44,unknown,TF,The Vietnam Hosts APEC Summit occurred before the Pulwama Terrorist Attack and after the National Action Plan Against Terrorism.,a,True,True,a,True,1
45,unknown,TF,The Union of Tanganyika and Zanzibar occurred before the Idi Amin's Regime and after the Osaka Expo '70.,b,False,True,a,True,0
46,unknown,TF,The First Gulf War occurred before the Moscow Theater Hostage Crisis and after the Oka Crisis.,b,False,True,a,True,0
47,unknown,TF,The August Revolution occurred before the Compulsory Military Training Introduced and after the Japanese Occupation of Vietnam.,a,True,True,a,True,1
48,unknown,TF,The Boko Haram Insurgency Intensifies occurred before the Women's Rights March and after the Introduction of UPI (Unified Payment Interface).,b,False,True,a,True,0
49,unknown,TF,The Establishment of the Juche Ideology occurred before the Establishment of the National Liberation Front and after the Victory in the Great Patriotic War.,a,True,True,a,True,1
50,unknown,TF,The Women's Suffrage Achieved occurred before the Formation of the USSR and after the Battle of Vimy Ridge.,a,True,True,a,True,1
51,unknown,TF,The Currency Convertibility Introduced occurred before the Cyclone Idai and after the Benazir Income Support Programme Launch.,a,True,True,a,True,1
52,unknown,TF,The Division of Korea occurred before the Algerian War of Independence and after the Lahore Resolution (Pakistan Resolution).,a,True,True,a,True,1
53,unknown,TF,The First Democratic Elections occurred before the Pulwama Terrorist Attack and after the Victory over Terrorism Day.,b,False,False,b,False,1
