question_id,template_type,question_format,question,gold_answer_letter,gold_answer_text,model_raw_answer,model_parsed_letter,model_parsed_text,is_correct
1,unknown,TF,"If the Byzantine Empire had successfully repelled the Ottoman siege in 1453, would Western Europe's Renaissance trajectory have changed significantly?",b,False,True,a,True,0
2,unknown,MCQ,"If the Spanish Armada had succeeded in 1588, which long-term outcome is most plausible?",c,England becomes permanently Catholic but retains political autonomy,C,c,England becomes permanently Catholic but retains political autonomy,1
3,unknown,TF,"If the Great Schism of 1054 never occurred, Christian Europe would have remained politically unified into the early modern era.",b,False,False,b,False,1
4,unknown,MCQ,"If the Taiping Rebellion (1850–1864) had succeeded in overthrowing the Qing, what is the most likely regional effect?",b,European colonial influence in China expands faster,B,b,European colonial influence in China expands faster,1
5,unknown,TF,"If the Mongols had successfully invaded Japan in 1281, East Asian political structures would remain unchanged.",b,False,False,b,False,1
6,unknown,MCQ,"If the Abbasid Caliphate had not fragmented in the 10th century, what long-term development is most plausible?",b,The Islamic Golden Age lasts significantly longer,B,b,The Islamic Golden Age lasts significantly longer,1
7,unknown,TF,"If the Polish-Lithuanian Commonwealth had not been partitioned in the late 18th century, would Russia's western expansion still have occurred?",a,True,True,a,True,1
8,unknown,MCQ,"If the Mali Empire had gained direct control over Atlantic trade routes in the 15th century, what is the most likely outcome?",c,Portugal delays African coastal exploration,A,a,Mali becomes an early global naval power,0
9,unknown,TF,"If the Italian city-states had unified in the 1400s, the Renaissance would have been less influential across Europe.",a,True,False,b,False,0
10,unknown,MCQ,"If the British lost the Second Boer War (1899–1902), what long-term effect is most plausible?",a,British imperial prestige weakens globally,A,a,British imperial prestige weakens globally,1
11,unknown,TF,"If the Aztec Empire had centralized its tributary system more effectively before 1500, Spanish conquest would still have been inevitable.",a,True,False,b,False,0
