question_id,format,question,gold_letter,gold_text,model_raw,model_letter,model_text,correct
1,TF,Early contact between the Hittites and the Mycenaeans influenced the exchange of chariot-warfare techniques.,a,True,True,a,True,1
2,MCQ,Which interaction introduced Lapita pottery motifs into remote Pacific island societies?,b,Inter-island voyaging,B,b,Inter-island voyaging,1
3,TF,Phoenician settlers in North Africa exchanged agricultural knowledge with early Berber communities.,a,True,True,a,True,1
4,MCQ,Which interaction carried tin from Central Europe into Bronze Age Anatolia?,b,Overland trade corridors,B,b,Overland trade corridors,1
5,TF,The Nok culture’s early ironworking may have diffused through contact with migrating West African groups.,a,True,True,a,True,1
6,MCQ,Which interaction helped spread domesticated camel use into Arabia?,c,North African trade routes,C,c,North African trade routes,1
7,TF,The Olmec influence on early Zapotec ceremonial architecture arose partly from regional trade contact.,a,True,True,a,True,1
8,MCQ,Which interaction allowed amber from the Baltic to reach Mediterranean artisans?,b,The Amber Road trade network,B,b,The Amber Road trade network,1
9,TF,Indus Valley traders may have influenced Mesopotamian weight and measure systems through maritime exchanges.,a,True,True,a,True,1
10,MCQ,Which interaction introduced early bronze metallurgy into the Korean Peninsula?,b,Steppe nomad migrations,A,a,Han Chinese frontier warfare,0
11,TF,Early contact between the Minoans and Egyptians contributed to shared artistic iconography.,a,True,True,a,True,1
12,MCQ,Which interaction carried cinnamon-like spices from Southeast Asia toward ancient East Africa?,d,Arabian monsoon trade,D,d,Arabian monsoon trade,1
13,TF,Early Slavic tribes adopted aspects of Byzantine religion and architecture through prolonged contact.,a,True,True,a,True,1
14,MCQ,Which interaction brought early citrus cultivation into Persia?,b,South Asian trade links,B,b,South Asian trade links,1
15,TF,The transmission of the lute-like oud instrument into Europe began partly through Andalusi musical contact.,a,True,True,a,True,1
16,MCQ,Which interaction introduced Hellenistic astronomy into the Kushan Empire?,b,Silk Road scholar travel,B,b,Silk Road scholar travel,1
17,TF,The expansion of Polynesian voyagers spread shared canoe-building techniques across distant islands.,a,True,True,a,True,1
18,MCQ,Which interaction moved jade ornaments from Neolithic China toward Southeast Asia?,b,River and land trade circuits,B,b,River and land trade circuits,1
19,TF,Sarmatian horse-archer tactics influenced Roman auxiliary forces through prolonged frontier contact.,a,True,True,a,True,1
20,MCQ,Which interaction helped transmit early pastoralist culture into the Tibetan Plateau?,a,Steppe migrations,A,a,Steppe migrations,1
21,TF,Early Aegean contact with Anatolia shaped metallurgical styles across both regions.,a,True,True,a,True,1
22,MCQ,Which interaction introduced domesticated wheat varieties into Neolithic Europe?,d,Mesopotamian migration waves,D,d,Mesopotamian migration waves,1
