question_id,format,question,gold_letter,gold_text,model_raw,model_letter,model_text,correct
1,TF,A Tyrannosaurus rex from the late Cretaceous (70 million years ago) could theoretically survive for a few days in the modern era if a large; unpoisoned food source was immediately available.,a,True,True,a,True,1
2,MCQ,If a small group of T. rex were transported to the modern Serengeti plains; what is the most immediate and realistic challenge to their long-term survival?,b,The difference in atmospheric oxygen content (slightly lower today),C,c,The lack of other large theropod dinosaurs for mating,0
3,TF,A giant dragonfly (Meganeura) from the Carboniferous period (300 million years ago) could breathe the air of the modern era (21% oxygen) if its tracheal system evolved to be more efficient.,a,True,False,b,False,0
4,MCQ,If a Meganeura were placed in a modern swamp; what environmental factor; significantly changed since the Carboniferous; would most directly prevent it from reaching its historical giant size?,c,The lower atmospheric oxygen concentration (around 35% then; 21% now),C,c,The lower atmospheric oxygen concentration (around 35% then; 21% now),1
5,TF,A trilobite from the Cambrian period (500 million years ago) would find the salinity of modern seawater within a tolerable range for short-term survival.,b,False,True,a,True,0
6,MCQ,If a trilobite were introduced into a modern shallow ocean environment; what is the greatest threat to its immediate survival?,b,Predation by highly-evolved modern fish; crabs; and cephalopods,B,b,Predation by highly-evolved modern fish; crabs; and cephalopods,1
7,TF,The feathered dinosaur Archaeopteryx from the Jurassic period (150 million years ago) would possess a metabolic rate high enough to cope with the generally cooler global temperatures of the present day.,a,True,False,b,False,0
8,MCQ,If an Archaeopteryx attempted to fly in a modern forest; what evolved modern competitor would pose the most significant threat to its ecological niche and survival?,c,Highly efficient; faster-flying modern birds,C,c,Highly efficient; faster-flying modern birds,1
9,TF,An early hominid (Australopithecus afarensis) from the Pliocene (3 million years ago) could not consume modern cultivated crops like corn or wheat without significant intestinal issues.,a,True,True,a,True,1
10,MCQ,If a small troop of Australopithecus afarensis were transported to a modern African savanna; what would be their main source of direct; lethal danger?,b,Aggressive; social modern carnivores like lions; hyenas; and leopards,B,b,Aggressive; social modern carnivores like lions; hyenas; and leopards,1
11,TF,A massive armored fish (Dunkleosteus) from the late Devonian (360 million years ago) would struggle to survive modern ocean depths due to the drastically different water pressure.,b,False,True,a,True,0
12,MCQ,If a Dunkleosteus were placed in the modern ocean; what anatomical feature would prove severely inadequate when hunting agile modern prey like tuna or large sharks?,d,Its lack of bone jaws (replaced by sharp bone plates) for gripping and chewing,C,c,Its heavy; restrictive armored plates,0
13,TF,The giant ground sloth (Megatherium) from the Pleistocene (10;000 years ago) would primarily suffer from starvation in the modern Amazon rainforest due to the lack of its specific megaflora diet.,a,True,False,b,False,0
14,MCQ,If a Megatherium was dropped into a modern South American habitat; what would be its most critical missing element for dietary success?,c,The absence of the giant; slow-growing trees it preferred to eat,C,c,The absence of the giant; slow-growing trees it preferred to eat,1
15,TF,A pterosaur (Quetzalcoatlus) from the late Cretaceous would fail to launch itself for flight in the modern atmosphere due to the increased density of the air.,b,False,False,b,False,1
16,MCQ,If a Quetzalcoatlus were flying over a modern city; what is the most scientifically sound reason it would struggle to find sufficient food?,c,Its required daily caloric intake is too vast to be met by modern aerial prey distribution,C,c,Its required daily caloric intake is too vast to be met by modern aerial prey distribution,1
17,TF,The first true land plants (Cooksonia) from the Silurian period (425 million years ago) would be quickly outcompeted by modern mosses and lichens.,a,True,False,b,False,0
18,MCQ,If Cooksonia were planted in a modern flower pot; what primitive feature would make it incapable of reaching any significant height?,c,The absence of rigid woody structures (lignin) to support weight against gravity,C,c,The absence of rigid woody structures (lignin) to support weight against gravity,1
19,TF,A woolly rhinoceros from the Pleistocene (20;000 years ago) would suffer from heat stroke within a modern temperate climate like the Netherlands.,a,True,False,b,False,0
20,MCQ,If a woolly rhino was placed in a modern Siberian climate (its original range); what key missing element of its food source would quickly lead to malnutrition?,c,The loss of the vast; dry **mammoth steppe** grasslands and replacement by modern mossy tundra,C,c,The loss of the vast; dry **mammoth steppe** grasslands and replacement by modern mossy tundra,1
21,TF,A giant marine reptile (Ichthyosaur) from the Triassic period (200 million years ago) would be able to compete successfully with modern dolphins and whales.,b,False,False,b,False,1
22,MCQ,If an Ichthyosaur was swimming in the modern Pacific Ocean; what critical biological disadvantage would it have against a modern predator like a Great White Shark?,a,Its primitive skeletal structure would not allow for high-speed pursuit,A,a,Its primitive skeletal structure would not allow for high-speed pursuit,1
23,TF,A massive amphibian (Prionosuchus) from the Permian period (270 million years ago) would find the salinity of modern tropical rivers too high for its freshwater-dependent eggs.,a,True,False,b,False,0
24,MCQ,If Prionosuchus was hunting in a modern swamp; what modern predator; which did not exist in the Permian; would pose the most significant threat to its young?,c,Modern apex predators like crocodiles and alligators,C,c,Modern apex predators like crocodiles and alligators,1
25,TF,A tree-sized fern (Psaronius) from the Permian period would be immune to most modern fungal diseases due to its ancient biochemistry.,b,False,False,b,False,1
26,MCQ,If a Psaronius was growing in a modern environment; what modern plant life trait would pose the biggest challenge to its long-term resource competition?,c,Its primitive method of reproduction via spores instead of seeds,D,d,The shade cast by smaller; faster-growing modern angiosperms (flowering plants),0
27,TF,A large predatory reptile (Postosuchus) from the Triassic (220 million years ago) would struggle to breathe the air on Mount Everest due to the lower oxygen concentration.,a,True,True,a,True,1
28,MCQ,If a Postosuchus (a non-dinosaur archosaur) were placed in the modern American Southwest desert; what type of evolved competitor would dominate the environment it once ruled?,c,Fast-running; warm-blooded modern mammals (e.g.; coyotes; deer),C,c,Fast-running; warm-blooded modern mammals (e.g.; coyotes; deer),1
29,TF,A marine ammonite from the Cretaceous (100 million years ago) would find the pH levels of modern oceans acceptable for its shell growth.,b,False,False,b,False,1
30,MCQ,If an ammonite were introduced into the modern deep ocean; what human-caused factor would pose the greatest threat to its shell formation and survival?,c,Ocean acidification due to increased atmospheric $\text{CO}_2$ absorption,C,c,Ocean acidification due to increased atmospheric $\text{CO}_2$ absorption,1
31,TF,A saber-toothed cat (Smilodon) from the Pleistocene (15;000 years ago) would be unable to outrun modern prey like a pronghorn antelope over long distances.,a,True,True,a,True,1
32,MCQ,If a Smilodon was hunting in a modern North American forest; what is the most critical missing element of its historical prey base that prevents successful hunting?,b,The absence of large; slow-moving megafauna (mammoths; giant bison) suitable for ambush hunting,B,b,The absence of large; slow-moving megafauna (mammoths; giant bison) suitable for ambush hunting,1
33,TF,A small mammal (Purgatorius) from the Paleocene (65 million years ago) would find the modern global temperature too cold for its survival.,b,False,True,a,True,0
34,MCQ,If Purgatorius were living in a modern ecosystem; what would be the biggest threat from the evolved food web?,c,Intense competition from highly specialized modern rodents and shrews,C,c,Intense competition from highly specialized modern rodents and shrews,1
35,TF,A giant predatory bird (Gastornis) from the Eocene (50 million years ago) would be able to physically overpower modern apex predators like the grizzly bear.,b,False,False,b,False,1
36,MCQ,If a Gastornis was introduced to a modern habitat; what key anatomical difference from modern birds would severely limit its diet options?,c,Its lack of evolved talons and reliance on a heavy beak for crushing,C,c,Its lack of evolved talons and reliance on a heavy beak for crushing,1
37,TF,An early bony fish (Tiktaalik) from the late Devonian (375 million years ago) would find the modern shallow water temperatures too warm to survive.,a,True,False,b,False,0
38,MCQ,If Tiktaalik was placed on a modern riverbank; what is the most realistic disadvantage it would face compared to a modern amphibian like a salamander?,a,Its primitive; heavy pectoral fins would be useless for terrestrial movement,A,a,Its primitive; heavy pectoral fins would be useless for terrestrial movement,1
39,TF,A giant squid (Architeuthis dux) from the deep modern ocean could not survive in the shallow waters of the Cretaceous period due to the primitive prey base.,b,False,False,b,False,1
40,MCQ,If a modern Giant Squid were transported to the deep Cretaceous ocean; what evolved biological feature would give it a massive advantage over Cretaceous marine reptiles?,b,Its highly developed camouflage and fast jet propulsion system,B,b,Its highly developed camouflage and fast jet propulsion system,1
41,TF,A stem-mammal (Dimetrodon) from the Permian (280 million years ago) would be unable to survive in a modern environment due to a lack of trees for climbing.,b,False,False,b,False,1
42,MCQ,If a Dimetrodon were introduced into a modern; temperate forest; what feature; related to its ancient physiology; would limit its ability to hunt effectively?,b,Its reliance on ectothermy (being cold-blooded) in modern temperature shifts,B,b,Its reliance on ectothermy (being cold-blooded) in modern temperature shifts,1
43,TF,A planktonic organism from the Precambrian (600 million years ago) would find the nutrient composition of modern ocean water to be completely toxic.,b,False,False,b,False,1
44,MCQ,If Precambrian single-celled life were introduced into a modern coastal environment; what newly evolved defensive mechanism would modern bacteria possess that the ancient life would lack?,c,Highly complex cell walls and signaling mechanisms against competitors,A,a,Resistance to modern antibiotics,0
45,TF,The first complex arthropod (Anomalocaris) from the Cambrian (500 million years ago) would struggle to survive modern ocean depths due to pressure changes.,a,True,True,a,True,1
46,MCQ,If an Anomalocaris were hunting in the modern ocean; what key anatomical difference would make it completely inefficient compared to a modern shrimp or crab?,b,Its lack of calcified (hard) shell armor for protection,B,b,Its lack of calcified (hard) shell armor for protection,1
47,TF,A massive predatory shark (Megalodon) from the Miocene (15 million years ago) would find the modern ocean temperatures too cold to maintain its high metabolic rate.,a,True,False,b,False,0
48,MCQ,If a Megalodon were hunting in the modern ocean; what is the most critical missing element of its historical prey base that prevents successful feeding?,b,The extinction of the giant; slow-moving baleen whales and sea cows it relied upon,B,b,The extinction of the giant; slow-moving baleen whales and sea cows it relied upon,1
49,TF,A giant flightless bird (Moa) from New Zealand (extinct about 500 years ago) would not be able to digest modern wheat or corn.,b,False,False,b,False,1
50,MCQ,If a Moa was reintroduced to modern New Zealand; what would be the biggest threat to its chicks that did not exist in its original ecosystem?,b,Predation by introduced mammalian pests (rats; stoats; domestic cats),B,b,Predation by introduced mammalian pests (rats; stoats; domestic cats),1
51,TF,The largest land mammal (Paraceratherium) from the Oligocene (30 million years ago) would be unable to survive in the modern environment due to a lack of suitable fresh water sources.,b,False,False,b,False,1
52,MCQ,If Paraceratherium were foraging in a modern Asian forest; what evolved plant defensive mechanism would pose a challenge to its feeding?,c,Chemical toxins newly evolved in modern flowering plants (angiosperms),C,c,Chemical toxins newly evolved in modern flowering plants (angiosperms),1
53,TF,An early hominid (Homo erectus) from 1.5 million years ago would be able to physically overpower an unarmored modern human in a one-on-one fight.,a,True,False,b,False,0
54,MCQ,If a troop of Homo erectus were transported to a modern temperate European forest; what modern factor would pose the greatest barrier to maintaining a healthy population?,c,Competition with the massive; organized population of Homo sapiens,D,d,The prevalence of modern bacteria and viruses,0
55,TF,A giant sea scorpion (Pterygotus) from the Silurian period (420 million years ago) would struggle to survive in modern freshwater rivers due to osmotic shock.,a,True,True,a,True,1
56,MCQ,If Pterygotus were hunting in the modern ocean; what key difference in the modern food web would threaten its survival?,c,The emergence of powerful; bony-skeletoned fish and sharks as apex predators,C,c,The emergence of powerful; bony-skeletoned fish and sharks as apex predators,1
57,TF,The first flowering plants (Archaefructus) from the early Cretaceous (125 million years ago) would be unable to produce viable seeds in modern soil conditions.,b,False,False,b,False,1
