question_id,format,question,gold_letter,gold_text,model_raw,model_letter,model_text,correct
1,TF,Benin was established before Eswatini and after Central African Republic.,a,True,False,b,False,0
2,TF,Chad was established before Botswana and after Maldives.,b,False,False,b,False,1
3,TF,Laos was established before Eswatini and after Cambodia.,a,True,True,a,True,1
4,TF,Central African Republic was established before Fiji and after Niger.,b,False,True,a,True,0
5,TF,Nigeria was established before Algeria and after Burkina Faso.,b,False,True,a,True,0
6,TF,Algeria was established before Jamaica and after Malaysia.,a,True,True,a,True,1
7,TF,Angola was established before Brunei and after Bangladesh.,a,True,True,a,True,1
8,TF,China was established before Malaysia and after Lebanon.,a,True,True,a,True,1
9,TF,Madagascar was established before Maldives and after Chad.,a,True,False,b,False,0
10,TF,Estonia was established before Azerbaijan and after Kazakhstan.,a,True,False,b,False,0
11,TF,Nauru was established before Grenada and after Gambia.,a,True,True,a,True,1
12,TF,Ghana was established before Mauritius and after Barbados.,b,False,False,b,False,1
13,TF,Gabon was established before Eswatini and after Maldives.,b,False,False,b,False,1
14,TF,Nauru was established before Guinea-Bissau and after Botswana.,a,True,True,a,True,1
15,TF,Malta was established before Fiji and after Maldives.,b,False,False,b,False,1
16,TF,Madagascar was established before Jamaica and after Cambodia.,a,True,True,a,True,1
17,TF,Mauritania was established before Bahrain and after Mauritius.,b,False,False,b,False,1
18,TF,Austria was established before Jamaica and after Kuwait.,b,False,False,b,False,1
19,TF,Malta was established before Iran and after Grenada.,b,False,False,b,False,1
20,TF,Barbados was established before Bangladesh and after Ghana.,a,True,True,a,True,1
21,TF,Burundi was established before Gambia and after Libya.,a,True,True,a,True,1
22,TF,Iran was established before Lithuania and after Cape Verde.,a,True,False,b,False,0
23,TF,Ghana was established before Burkina Faso and after Benin.,b,False,False,b,False,1
24,TF,Madagascar was established before Guinea-Bissau and after Kenya.,b,False,False,b,False,1
25,TF,Libya was established before Nigeria and after Laos.,b,False,True,a,True,0
26,TF,Morocco was established before Fiji and after Mauritius.,b,False,False,b,False,1
27,TF,Gabon was established before Bahamas and after Guinea.,a,True,True,a,True,1
28,TF,Gabon was established before Bahamas and after Chad.,b,False,True,a,True,0
29,TF,North Macedonia was established before Czech Republic and after Azerbaijan.,b,False,False,b,False,1
30,TF,Cambodia was established before Mauritius and after Ghana.,b,False,False,b,False,1
31,TF,Cambodia was established before Eswatini and after Gambia.,b,False,False,b,False,1
32,TF,Central African Republic was established before Maldives and after Cameroon.,b,False,True,a,True,0
33,TF,Guinea was established before Kenya and after Jamaica.,b,False,False,b,False,1
34,TF,Kenya was established before Lesotho and after Cameroon.,a,True,True,a,True,1
35,TF,Guinea-Bissau was established before Antigua and Barbuda and after Eswatini.,a,True,True,a,True,1
36,TF,Indonesia was established before Mauritania and after Austria.,b,False,True,a,True,0
37,TF,Libya was established before Burundi and after Kuwait.,b,False,False,b,False,1
38,TF,Benin was established before Grenada and after Eswatini.,b,False,False,b,False,1
39,TF,Micronesia was established before Kyrgyzstan and after Azerbaijan.,b,False,False,b,False,1
40,TF,Georgia was established before North Macedonia and after Estonia.,b,False,True,a,True,0
41,TF,Mauritania was established before Botswana and after Ivory Coast.,a,True,True,a,True,1
42,TF,Mozambique was established before Lithuania and after Brunei.,b,False,False,b,False,1
43,TF,Jamaica was established before Bahrain and after Democratic Republic of the Congo.,a,True,True,a,True,1
44,TF,Botswana was established before Angola and after Kuwait.,a,True,True,a,True,1
45,TF,Burkina Faso was established before Guinea-Bissau and after Jamaica.,b,False,False,b,False,1
46,TF,Kenya was established before Lesotho and after Burundi.,a,True,True,a,True,1
47,TF,Cameroon was established before Gambia and after Kenya.,b,False,False,b,False,1
48,TF,Burundi was established before Djibouti and after Grenada.,b,False,False,b,False,1
49,TF,Fiji was established before Angola and after Burkina Faso.,a,True,True,a,True,1
