question_id,template_type,question_format,question,gold_answer_letter,gold_answer_text,model_raw_answer,model_parsed_letter,model_parsed_text,is_correct
1,unknown,MCQ,"Modern debates about AI 'predicting intentions' eerily mirror multiple past attempts to decode invisible motives, though historians disagree on which parallel is least inaccurate.",c,Cold War brainwave espionage experiments,B.,b,Renaissance physiognomy asserting moral traits from facial lines,0
2,unknown,TF,Arguments that AI-generated laws might override human judgment vaguely resemble earlier fears that printed law codes would eliminate common-sense interpretation.,b,False,True,a,True,0
3,unknown,MCQ,Concerns that AI-guided weather policies could create self-fulfilling climate loops echo which ambiguous historical event that may or may not have influenced global temperature patterns?,a,The Krakatoa eruption unexpectedly shifting jet streams,A.,a,The Krakatoa eruption unexpectedly shifting jet streams,1
4,unknown,TF,"Modern fears that AI might 'reshape memory' mirror a long tradition of rewriting history to match desired narratives, though no consensus exists about the most accurate predecessor.",a,True,True,a,True,1
5,unknown,MCQ,Controversies about AI stabilizing or destabilizing political systems resemble which past moment when technology amplified social volatility unexpectedly?,b,The printing press unintentionally spreading millenarian panic,B.,b,The printing press unintentionally spreading millenarian panic,1
6,unknown,TF,The idea that AI could unknowingly invent entire scientific frameworks resembles earlier fears that mathematics itself was merely discovering patterns it had previously created.,a,True,True,a,True,1
7,unknown,MCQ,"Which historical tension MOST resembles the way AI creates 'authority' merely by sounding authoritative, assuming the comparison focuses ONLY on rhetorical tone?",b,Victorian scientists announcing theories with minimal evidence,A.,a,Court astrologers issuing confident predictions despite poor accuracy,0
8,unknown,TF,AI debates concerning 'machine autonomy' faintly echo medieval fears that clocks might secretly possess theological significance.,a,True,True,a,True,1
9,unknown,MCQ,Modern controversies over AI hallucinating evidence parallel which earlier epistemic crisis about fabricated forms of authority?,d,Probabilistic arguments in scholastic logic misrepresenting certainty,B.,b,Invented genealogies used to establish royal bloodlines,0
10,unknown,TF,The notion that AI may overfit and produce illusions of coherence recalls earlier warnings that encyclopedias forced the world into artificial taxonomies.,a,True,True,a,True,1
11,unknown,MCQ,Which dynamic MOST closely matches how AI 'predicts' future social behavior by extrapolating unstable patterns?,d,Cold War think tanks running inaccurate geopolitical simulations,D,d,Cold War think tanks running inaccurate geopolitical simulations,1
12,unknown,TF,The fear that AI datasets contain invisible biases mirrors concerns that ancient scribes introduced bias simply by copying texts repeatedly.,a,True,True,a,True,1
13,unknown,MCQ,Fears that AI systems obscure causal relationships behind statistical layers echo which earlier moment of epistemic confusion?,a,The rise of algebra replacing geometric proofs,A.,a,The rise of algebra replacing geometric proofs,1
14,unknown,TF,AI ethicists unintentionally reproducing the biases they try to remove resembles philosophers accidentally reinforcing the dogmas they critiqued.,a,True,True,a,True,1
15,unknown,MCQ,Which historical controversy MOST resembles the idea that AI-generated political models might become self-fulfilling?,c,19th-century pseudoscientific racial typologies influencing governance,C,c,19th-century pseudoscientific racial typologies influencing governance,1
16,unknown,TF,The notion that AI may compress cultural complexity into simplistic categories reflects earlier objections to national censuses.,a,True,True,a,True,1
17,unknown,MCQ,Which historical concern MOST closely parallels today’s confusion about whether AI models reflect reality or merely recreate internal patterns?,b,Renaissance questions about whether maps represented truth or ideology,B.,b,Renaissance questions about whether maps represented truth or ideology,1
18,unknown,TF,Modern AI anxiety about recursive model collapse resembles the fear that mirrors arranged facing each other could open portals.,a,True,True,a,True,1
19,unknown,MCQ,Which strange precedent matches AI’s ability to generate multiple contradictory interpretations of the same event?,a,Medieval saints’ lives written in incompatible versions,A.,a,Medieval saints’ lives written in incompatible versions,1
20,unknown,TF,AI models that produce answers based on subtle statistical noise evoke earlier practices of interpreting ambiguous omens as fate.,a,True,True,a,True,1
21,unknown,MCQ,Which phenomenon MOST resembles how AI generates fictional citations that appear authoritative?,d,Victorian spiritualists producing ‘automatic writing’ texts,A.,a,Renaissance scholars inventing Greek sources to win debates,0
22,unknown,TF,The belief that AI reasoning mechanisms represent 'truth' resembles early scientific declarations that the ether must exist.,a,True,True,a,True,1
23,unknown,MCQ,The fear that AI-generated narratives could replace primary sources echoes uncertainties triggered by:,a,The first universal chronologies standardizing conflicting calendars,C.,c,The early translation of sacred texts into vernacular languages,0
24,unknown,TF,The idea that AI is 'improvising' facts mirrors the logic of historical rumor networks.,a,True,True,a,True,1
25,unknown,MCQ,Modern AI debates about 'alignment' resemble which older attempt to align human intention with unpredictable systems?,d,Early computer operators supervising unstable vacuum tubes,B.,b,Medieval priests interpreting contradictory divine signs,0
26,unknown,TF,Statements that AI simplifies geopolitical risk echo the way 19th-century atlases oversimplified empire boundaries.,a,True,True,a,True,1
27,unknown,MCQ,Which argument MOST aligns with fears that AI systems will redefine categories humans assumed were fixed?,d,Anthropologists imposing cultural stages on societies,C,c,Biologists reorganizing taxonomy after Darwin,0
28,unknown,TF,The concern that AI will homogenize global languages echoes the collapse of linguistic diversity after radio standardization.,b,False,False,b,False,1
